"gene","avg_log2FC","p_val","p_val_adj","pct_roi","pct_rest","sample","roi","reference","test","expression_assay","logfc_cutoff","fdr_cutoff","min_pct","n_spots_roi","n_spots_rest","passes_selected_filters","complete_gene_table","analysis_format_version","n_genes_tested"
"PDZD3",6.5785,5.36269319930849e-15,3.50787168899766e-12,0.069,0.001,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"AC141928.1",6.5447,2.00638905564889e-11,3.04331418209004e-09,0.069,0.002,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"WNT7B",6.5294,6.67892485482215e-18,1.74754068826422e-14,0.103,0.003,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"CCDC78",6.2275,3.69372300402442e-14,1.54634019840478e-11,0.103,0.004,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"AP001059.3",6.1004,2.12647041279881e-05,0.000496777663847151,0.069,0.006,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"AC006273.1",5.879,6.23086698795691e-13,1.71611194463045e-10,0.069,0.002,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"AC138894.1",5.8519,5.32078555279137e-06,0.000154258563976494,0.069,0.005,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"FXYD3",5.7659,2.86056183329449e-07,1.18804127568492e-05,0.069,0.004,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"AC011139.1",5.5316,1.15739761973039e-27,1.21133234880983e-23,0.241,0.011,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"LINC01806",5.4703,2.86056183329449e-07,1.18804127568492e-05,0.069,0.004,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"CKMT2",5.3556,2.06570616694659e-12,4.41217974352307e-10,0.103,0.005,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"RALYL",5.2923,3.87256378206028e-05,0.000808987076707444,0.069,0.006,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"PRDM8",5.2251,0.000105831745825936,0.00179519457344287,0.069,0.007,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"CELF2",5.2208,0.000746894960089323,0.00816823683625377,0.276,0.105,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"AC025754.2",5.205,0.00743899641535934,0.0397836159852585,0.069,0.013,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"C9orf116",5.1727,0.000511220344480935,0.00616409231029662,0.069,0.008,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"SMPD3",5.1636,8.33038575553944e-07,3.04845515096069e-05,0.138,0.017,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"AC087071.1",5.0535,3.10553030910236e-09,2.27290071434023e-07,0.069,0.003,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"WNT6",5.0417,0.000106506662804499,0.0018037196325435,0.069,0.007,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"AC111182.1",4.9639,3.59586061610005e-10,3.30125238667571e-08,0.138,0.011,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"FAM129C",4.9566,1.54640083645607e-10,1.60243872815339e-08,0.172,0.016,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"AC004069.1",4.9237,0.000249417545651633,0.00349451677749665,0.069,0.008,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"MUC5B",4.8895,0.000511220344480935,0.00616409231029662,0.069,0.008,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"TEX22",4.8837,2.19084094438176e-05,0.000509540918308878,0.069,0.006,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"AC107959.1",4.88,0.00157760198836766,0.0135894505434205,0.069,0.01,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"NTNG2",4.8651,0.00157047559739282,0.0135615491768262,0.069,0.01,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"LINC00921",4.8504,5.07112004087661e-05,0.00101088293494223,0.103,0.014,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"PTX3",4.8452,0.000361331374553316,0.00468031456197401,0.069,0.008,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"TNFRSF17",4.8205,2.30282945704312e-06,7.55530191141484e-05,0.069,0.005,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"CXCR5",4.811,6.694076475001e-05,0.00126241736515875,0.069,0.007,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"AC010542.2",4.8096,3.84577051389748e-05,0.000804996683969021,0.103,0.013,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"AC139749.1",4.7908,9.12222504701587e-07,3.31504192159959e-05,0.069,0.004,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"TESMIN",4.7724,0.000220300544694909,0.00318022827693368,0.138,0.027,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"SHISA8",4.7457,2.36582662981214e-06,7.68967127565649e-05,0.069,0.005,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"KCNJ16",4.7265,4.43621047938259e-09,3.09529192514788e-07,0.103,0.007,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"GPR174",4.7113,1.47684831217551e-13,5.52024801258176e-11,0.241,0.024,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"CCL28",4.7104,0.000935256697685798,0.0093938547005562,0.069,0.009,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"LAIR2",4.6841,0.00252379322778679,0.0186935739009318,0.069,0.01,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"WNT10B",4.6821,5.56370222233198e-07,2.16467313973705e-05,0.103,0.009,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"AC100830.3",4.6747,0.000365344844023281,0.00470898908564982,0.069,0.008,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"TTC16",4.6685,6.78407944346237e-05,0.00127701754415966,0.069,0.007,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"FAM171A2",4.6505,2.17415894732328e-05,0.000506787250393885,0.103,0.013,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"NMUR1",4.6381,1.0518538288153e-07,5.17338403512355e-06,0.138,0.015,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"LEFTY1",4.6307,1.10043459427584e-18,3.83904948789698e-15,0.207,0.012,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"FAM153A",4.6123,0.00452890946626015,0.0280636864854226,0.069,0.012,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"AL035587.1",4.5973,0.00375986748323786,0.0247742868354202,0.069,0.011,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"BLK",4.5948,6.65550751641954e-09,4.32649327123273e-07,0.207,0.028,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"SLC6A19",4.5554,6.64168787604478e-17,9.93027218724066e-14,0.207,0.014,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"AC012645.3",4.4966,0.000255244222243927,0.00354295229443626,0.069,0.008,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"SIRPB1",4.4745,6.82950916019798e-05,0.00127866981879485,0.069,0.007,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"FCMR",4.4657,3.21904780187191e-09,2.3396218259994e-07,0.241,0.036,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"MS4A1",4.4608,8.1516126665118e-11,9.4794197964125e-09,0.31,0.051,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"SBK1",4.4441,0.00743899641535934,0.0397836159852585,0.069,0.013,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"ACOT11",4.4342,0.00378963566902711,0.024866662640776,0.069,0.011,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"C3orf70",4.4129,0.00749107491466326,0.0398382063297082,0.069,0.013,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"ZNF829",4.4003,0.0100271664961834,0.0490164990887694,0.069,0.013,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"ICOS",4.3984,0.00153106791225122,0.01333124523263,0.103,0.02,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"B3GALT5",4.3948,1.17931115227317e-05,0.000297413747462433,0.069,0.005,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"SLC5A2",4.3329,0.00124022907039132,0.0113761940847638,0.069,0.009,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"BICDL2",4.3242,5.79687912216533e-07,2.23051973869788e-05,0.103,0.009,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"LYPD6B",4.3161,0.000171430567924845,0.00262308819283834,0.103,0.016,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"PRSS22",4.2935,7.57943010391483e-09,4.8369704553398e-07,0.138,0.013,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"ITK",4.2601,2.84710470169278e-05,0.000628645523373768,0.172,0.034,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"SPIB",4.2088,6.65646511923944e-07,2.51503840931263e-05,0.172,0.025,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"ESRP1",4.1905,0.000522147579766576,0.00625262765427572,0.069,0.008,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"LRCH2",4.167,0.00204602789701658,0.016119346018941,0.069,0.01,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"CTRL",4.1608,0.00094442736201292,0.00943165722407178,0.069,0.009,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"PAX5",4.1432,0.0064918486247504,0.0364504762374666,0.069,0.012,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"BIK",4.1268,0.0064918486247504,0.0364504762374666,0.069,0.012,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"KCNJ15",4.1124,2.06792379233412e-08,1.21589271969488e-06,0.172,0.021,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"SYT13",4.1102,2.9229482824348e-06,9.17918258601592e-05,0.138,0.018,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"SMIM22",4.1055,3.70129120801161e-05,0.000779430860825945,0.138,0.023,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"PARP15",4.0908,0.00322699470592054,0.022146705962075,0.138,0.037,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"KIF21B",4.0764,0.000132667068256016,0.00213614390210378,0.172,0.039,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"LOXL1-AS1",4.0638,0.00746499493587648,0.0398092748132322,0.069,0.013,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"SLC34A2",4.057,5.87265110492071e-06,0.000167932148809017,0.103,0.011,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"CYTIP",4.0178,0.000109085998852216,0.00184136580288624,0.241,0.07,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"DNAJC22",-4.0003,5.25176027379185e-08,2.86275640757841e-06,0,0.56,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"RAB33A",3.9973,0.0075962138085503,0.0402337923685665,0.069,0.013,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"C19orf33",3.9857,2.81733167996789e-09,2.07649249032e-07,0.241,0.036,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"ARHGEF10",3.9772,0.00653856245831168,0.0366145503952327,0.069,0.012,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"DPEP2",3.9747,6.23178318883949e-05,0.00118585168826171,0.207,0.05,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"CCDC154",3.957,0.00756980579750311,0.0401345427946644,0.069,0.013,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"ALKAL2",3.9338,2.17022845814358e-12,4.54272220858613e-10,0.241,0.026,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"MIAT",3.9189,0.00745948321819939,0.0398092748132322,0.103,0.026,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"SAMSN1",3.9167,0.00023031507137407,0.00330202402328907,0.241,0.075,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"TIGIT",3.9002,0.00747802735360352,0.0398092748132322,0.103,0.026,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"RAB25",3.8992,3.09195147542706e-06,9.54583013033025e-05,0.138,0.018,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"OBSCN",3.8743,9.15849416409814e-08,4.60830768853131e-06,0.276,0.056,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"CCR7",3.8683,0.000652150566259622,0.00741086626110012,0.172,0.045,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"IL21R",3.8585,2.68310444288534e-05,0.000599462553902767,0.172,0.033,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"CD79A",3.8464,6.1269843849625e-11,7.54411983211971e-09,0.379,0.075,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"BCL11B",3.8407,7.90615317241862e-06,0.000214924153513074,0.207,0.043,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"AL645608.8",3.7891,3.23437387737197e-10,3.02240687505135e-08,0.276,0.042,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"MIR29B2CHG",3.7889,0.00270710446578093,0.0195651803112492,0.138,0.036,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"LINC00926",3.7832,0.000387020360345789,0.00492768259291852,0.241,0.079,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"HSH2D",3.7832,0.00921038055587632,0.0459903830619282,0.103,0.026,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"AL356488.2",3.761,0.00042524396675377,0.00533645486336326,0.138,0.029,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"HUNK",3.76,0.00161368261945321,0.0138246732121113,0.069,0.01,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"LY6H",3.7509,0.000699849257378484,0.00780044319994781,0.103,0.018,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"GABRP",3.7506,0.00047201818814224,0.00579149162613914,0.103,0.017,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"SPNS3",3.7443,6.01562281784935e-05,0.00115522033782773,0.172,0.036,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"POC1B-AS1",3.7374,0.00819014869664637,0.0424681506790924,0.103,0.026,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"CHST4",3.7011,3.93942961410456e-06,0.000119507450264401,0.138,0.019,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"WNT10A",3.6786,3.32416297923071e-05,0.000718815903731996,0.138,0.022,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"ANO9",3.6775,2.41627995497645e-08,1.39717049772284e-06,0.31,0.065,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"NCR3",3.6768,0.000713481238198023,0.00789354613000054,0.138,0.031,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"RFTN2",3.6695,0.00043927192720154,0.005473119035823,0.138,0.029,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"TAGAP",3.6543,5.05661764750178e-05,0.00101088293494223,0.207,0.049,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"CTTNBP2",3.646,0.000682543482753896,0.00764828703479901,0.103,0.018,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"RIPOR2",3.6434,9.00983047993657e-06,0.000236926848751297,0.276,0.074,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"JCHAIN",3.6421,9.17614095945699e-19,3.83904948789698e-15,0.793,0.211,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"IL7R",3.6358,3.75882549723956e-10,3.42085805687906e-08,0.621,0.242,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"SLC5A1",3.6345,0.000116843304607969,0.00193837217292913,0.103,0.015,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"VPREB3",3.6209,2.00024199042274e-06,6.6458833878617e-05,0.207,0.038,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"RHOH",3.6142,0.000374382035160762,0.00480181664214771,0.241,0.079,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"LSP1",3.6133,8.23290956679862e-06,0.000222650210661794,0.586,0.353,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"RAB36",3.5921,0.000163226102270383,0.0025271070804169,0.138,0.026,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"SCML4",3.5883,0.00943832901003265,0.0469271028118773,0.138,0.043,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"F11",-3.5824,8.32029967237925e-07,3.04845515096069e-05,0,0.495,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"MATK",3.5464,5.93607845748273e-08,3.18599985312894e-06,0.379,0.102,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"TMEM125",3.5413,0.000663252901430939,0.00749633354900238,0.103,0.018,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"MMRN1",3.5373,1.10990452621991e-05,0.000283085289014349,0.241,0.058,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"SLC25A14",3.5358,0.00812942473519647,0.0423085824358857,0.207,0.085,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"ZAP70",3.5276,6.52123391457256e-13,1.75003164486965e-10,0.586,0.165,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"BEND5",3.5093,0.00772289126849778,0.0407398084758557,0.103,0.026,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"DENND1C",3.5004,0.000868812098313643,0.00899405283971373,0.207,0.065,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"PRKCB",3.4942,0.0023571773740932,0.0179266994794724,0.172,0.052,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"MAML2",3.4927,0.000170059368605392,0.00260591705977164,0.207,0.055,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"FGF1",3.4822,0.00532595679172214,0.0315815658822458,0.103,0.024,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"PKHD1",3.4797,2.95252901322415e-05,0.000647823242188763,0.138,0.022,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"CARMIL2",3.4569,0.00562797369183407,0.032814692288989,0.138,0.04,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"CYS1",3.4376,0.000448965891402272,0.00557668733549677,0.172,0.043,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
