"gene","avg_log2FC","p_val","p_val_adj","pct_roi","pct_rest","sample","roi","reference","test","expression_assay","logfc_cutoff","fdr_cutoff","min_pct","n_spots_roi","n_spots_rest","passes_selected_filters","complete_gene_table","analysis_format_version","n_genes_tested"
"OAF",-0.9562,0.000206180887746852,0.00300960832797567,0.448,0.85,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"HPX",-0.955,2.01020604649484e-12,4.38308676721145e-10,1,0.99,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"SLC6A1",-0.9545,6.17165805457428e-05,0.00117869659122581,0.241,0.732,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"YWHAG",-0.9534,0.000291436034395386,0.0039664103198727,0.172,0.632,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"ADH6",-0.9523,0.000712963189294949,0.00789354613000054,0.379,0.832,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"TMEM259",0.952,0.000159642839727524,0.00248634220325635,0.793,0.883,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"ARMT1",-0.9512,0.00280921787219178,0.0200828376027044,0.069,0.369,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"EMC3",-0.9502,7.75278502489013e-05,0.00140355820168438,0.172,0.655,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"RPL27",0.9499,8.73224871052612e-13,2.28479287510916e-10,0.966,0.986,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"RPL32",0.9497,2.07958524918916e-11,3.10927703114482e-09,0.966,0.989,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"MCCC2",-0.9493,0.00268391865085309,0.0194528342104075,0.207,0.59,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"FGB",-0.9483,3.01638827890724e-11,4.15388417461094e-09,1,0.991,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"TCEA3",-0.948,0.000240364311539534,0.00340413110226355,0.276,0.758,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"ABCD1",-0.9473,0.00553167021768675,0.0324520518488282,0.069,0.33,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"MRPS33",-0.9469,0.00116082683098263,0.0108949872847185,0.172,0.57,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"HAO1",-0.9468,0.000189148424892681,0.00282400487150756,0.448,0.831,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"GORASP2",-0.9447,0.000250363706043572,0.00350308361958827,0.138,0.564,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"ABLIM3",-0.944,0.00205394581435162,0.01616285480677,0.103,0.44,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"ACP1",-0.9438,0.00050791654499161,0.00613840018462146,0.207,0.666,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"ETNK2",-0.943,7.59750249396433e-05,0.00139034154010407,0.172,0.677,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"SUMF1",-0.9415,0.00150248612220046,0.0131921306669044,0.069,0.394,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"PDIA4",-0.941,3.08142076940508e-06,9.54176818528893e-05,0.69,0.936,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"HSD17B2",-0.9407,0.000749795731661293,0.00818306844195222,0.31,0.761,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"CLIC1",0.9404,0.000453600471738741,0.0056172420985188,0.793,0.814,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"APOB",-0.9378,3.0091214432663e-10,2.84558436702549e-08,1,0.986,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"RPL18",0.9377,1.39284299611105e-10,1.47247422194932e-08,0.966,0.99,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"ARHGDIA",0.936,0.00256809961800728,0.0189244958539946,0.759,0.845,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"ANGEL1",-0.9358,0.00214729807985672,0.0166842031950857,0.069,0.379,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"ATG3",-0.9355,0.001265272144619,0.0115409551124992,0.103,0.449,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"AKR7A3",-0.935,0.00287860234023861,0.0204344473902638,0.31,0.682,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"DHRS7B",-0.9341,0.00609604915612697,0.0347501364204928,0.034,0.275,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"ATP9A",-0.9334,0.000500671117159116,0.00605783111235527,0.103,0.5,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"TDO2",-0.9326,2.37243900843304e-05,0.000543324872259522,0.483,0.908,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"INTS7",-0.9323,0.00688936540553304,0.037862149244617,0.034,0.27,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"AP001783.1",-0.9321,0.00290785111831681,0.0205910485820729,0.103,0.425,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"WDR19",-0.9318,0.00851012595811108,0.043469373371895,0.069,0.313,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"C1orf53",-0.9306,0.00180421101466085,0.0148332807171338,0.069,0.375,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"LTBP3",0.9301,0.00157620193765271,0.0135885745300439,0.828,0.877,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"C3",-0.9293,1.25155756376047e-12,3.04623289821327e-10,1,0.993,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"PPP1R12C",0.929,0.00774775063729966,0.0408503567606944,0.655,0.676,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"RAB5C",0.9277,0.00933670208360694,0.0465101970523704,0.621,0.639,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"SLC20A1",-0.9257,0.00411735076225164,0.0263560813931044,0.103,0.411,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"SORD",-0.9245,9.77530550087804e-05,0.00169665584365157,0.414,0.878,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"UBLCP1",-0.9243,0.00900489479210398,0.0452666805447456,0.034,0.259,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"SAA4",-0.9229,1.28977147391365e-06,4.4846339687642e-05,0.862,0.971,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"DHRS1",-0.9226,0.000632057644983761,0.00724493102612348,0.138,0.546,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"APRT",0.9217,0.000217185050080754,0.00314392632661849,0.793,0.867,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"NOL7",-0.9216,0.00263865719146672,0.0192337457976345,0.138,0.467,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"ADH1A",-0.9215,0.00333754404937941,0.0227265686537442,0.862,0.948,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"ACACB",-0.9214,0.00100134285613639,0.00980733218590455,0.172,0.56,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"NUDT9",-0.9212,0.00190671902782268,0.0153962129928757,0.069,0.385,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"ARL4D",-0.921,0.00683810872253801,0.0377665677520226,0.069,0.323,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"FTCD",-0.9209,1.52102108275279e-10,1.59190066520907e-08,0.862,0.984,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"LPGAT1",-0.9208,0.000454059508441325,0.0056172420985188,0.172,0.598,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"RPL7",0.9206,2.65499450318297e-11,3.75502330679905e-09,0.966,0.987,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"UBE2K",-0.9189,9.01148784870842e-05,0.00159045922132516,0.207,0.719,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"GABRE",-0.9185,0.00124596526447816,0.0114108097746618,0.103,0.466,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"HMGN1",0.9182,0.00340235089553369,0.0230628267309945,0.724,0.739,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
