"gene","avg_log2FC","p_val","p_val_adj","pct_roi","pct_rest","sample","roi","reference","test","expression_assay","logfc_cutoff","fdr_cutoff","min_pct","n_spots_roi","n_spots_rest","passes_selected_filters","complete_gene_table","analysis_format_version","n_genes_tested","Moran_I","Moran_padj","Moran_neglog10_padj","spatial_class"
"TBX1",4.3007,3.90142205206806e-09,1.4099122122064e-07,0.098,0.007,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,0.156777751622481,1.33985272392139e-24,23.8729429364885,"Weakly structured"
"LTF",4.2641,2.57034870929478e-18,7.47328887227457e-16,0.22,0.016,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,0.113403395013594,4.84374680054247e-13,12.3148185670156,"Weakly structured"
"CHGA",-4.2462,0.000421060542201432,0.00421332916398334,0,0.238,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,0.19079698093839,1.26597461806032e-32,31.8975750015437,"Weakly structured"
"GUCA2B",-4.2124,0.000273463146596912,0.00294727382848719,0,0.25,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,0.430590258672349,5.16660121938435e-158,157.286795057886,"Spatially structured"
"KCNIP3",4.2076,1.78325270616801e-06,3.62689218919035e-05,0.073,0.006,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,-0.00782815250135282,0.684554714981036,0.16459183392199,"Not structured"
"PCDHGA7",4.2076,1.78325270616801e-06,3.62689218919035e-05,0.073,0.006,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,-0.00684208035723714,0.662180084990951,0.1790238847567,"Not structured"
"HHLA2",-4.1629,3.40243250966638e-08,1.02417221402734e-06,0.024,0.48,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,0.34227899118692,2.89964041577432e-100,99.5376558555933,"Spatially structured"
"AC004585.1",4.108,4.5259952832394e-11,2.29766101819372e-09,0.122,0.008,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,0.0476472776372359,0.00112788806750082,2.94773399794025,"Weakly structured"
"CD40LG",4.108,0.000111617282008881,0.00138632998906759,0.073,0.009,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,0.113014000387197,1.05741765815417e-13,12.9757534414485,"Weakly structured"
"NCR3",4.108,8.13665325806036e-14,6.71562613744298e-12,0.146,0.009,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,0.0270797639444128,0.0421378776625538,1.37532734207042,"Weakly structured"
