"gene","avg_log2FC","p_val","p_val_adj","pct_roi","pct_rest","sample","roi","reference","test","expression_assay","logfc_cutoff","fdr_cutoff","min_pct","n_spots_roi","n_spots_rest","passes_selected_filters","complete_gene_table","analysis_format_version","n_genes_tested","Moran_I","Moran_padj","spatial_class"
"FAM86C1",3.102,0.000823564604762848,0.0272562294090808,0.081,0.014,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.00355960147481184,0.74498863809719,"Not structured"
"AC004130.2",3.0481,0.000230483253914834,0.0106879908908414,0.054,0.006,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,-0.0384500732256703,0.891133151808677,"Not structured"
"HOMEZ",3.0356,0.000833341615902995,0.0273139834890048,0.108,0.024,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.105563939311271,0.122444422710303,"Not structured"
"FOXC2",2.9951,0.00148956987026832,0.0425835458253051,0.054,0.007,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.123942724605106,0.0490811040388091,"Weakly structured"
"Z97989.1",2.9741,0.000127939305186899,0.00675790661040201,0.081,0.012,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,-0.0926415017797196,0.8935812524372,"Not structured"
"ZNF831",2.944,6.55086666166377e-05,0.00417904685168736,0.081,0.011,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.0330549038250874,0.541537336235071,"Not structured"
"GRAP",2.9335,7.79456839191349e-05,0.00467439680405278,0.189,0.051,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,-0.10063623683972,0.8935812524372,"Not structured"
"MID2",2.9312,6.35094918799364e-05,0.00415206317405224,0.108,0.018,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.0989941953222356,0.197748392662604,"Not structured"
"VAV1",2.9039,0.000594073382912366,0.0212481134623723,0.108,0.023,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,-0.121273891224125,0.930854258440179,"Not structured"
"FAIM2",2.896,6.45776043698996e-05,0.00415379816495419,0.081,0.011,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,-0.0818049599253619,0.891133151808677,"Not structured"
"HSPA1L",2.8603,0.0015159448767284,0.0428765118325736,0.054,0.007,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.109152595954305,0.0773157097106909,"Not structured"
"MSX1",2.8504,0.00150006872110295,0.0427305289982755,0.054,0.007,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,-0.0437858853561205,0.891133151808677,"Not structured"
"CCDC86",2.836,7.39270863422653e-05,0.00454724797524142,0.135,0.028,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.0701960802865867,0.349721072099728,"Not structured"
"PBX4",2.7198,0.00117806271567007,0.0357271034988004,0.081,0.015,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,-0.0840806506473461,0.891133151808677,"Not structured"
