"gene","avg_log2FC","p_val","p_val_adj","pct_roi","pct_rest","sample","roi","reference","test","expression_assay","logfc_cutoff","fdr_cutoff","min_pct","n_spots_roi","n_spots_rest","passes_selected_filters","complete_gene_table","analysis_format_version","n_genes_tested","Moran_I","Moran_padj","spatial_class"
"FOSB",1.4898,3.26216466570211e-09,9.2925090620143e-07,0.784,0.403,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.0139184759301211,0.72247627592266,"Not structured"
"DEK",1.4654,0.000439144634391702,0.0167589359038671,0.405,0.208,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,-0.120142530510803,0.898447058254601,"Not structured"
"AC020916.1",1.4439,2.66058106555253e-05,0.00210106877018287,0.405,0.161,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,-0.0084775219594932,0.830571319162084,"Not structured"
"ATRX",1.4399,2.28663833709532e-05,0.00184224518956286,0.459,0.199,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.106184311213021,0.212633150118603,"Not structured"
"CCDC88A",1.415,0.000317248173477229,0.013134155121686,0.27,0.096,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,-0.0530433337620644,0.891133151808677,"Not structured"
"IGLC3",1.3959,4.18756419563836e-08,7.95238381533609e-06,0.73,0.362,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.441631291084262,4.88405839725289e-07,"Spatially structured"
"CCL21",1.3756,0.00118619010565744,0.0358373192527414,0.757,0.788,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.499674339155844,1.42671355167126e-08,"Spatially structured"
"TGM2",-1.3655,0.000252151617481312,0.0113643855394349,0.27,0.584,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,-0.0571500482318304,0.891133151808677,"Not structured"
"CMTM7",1.3628,0.00153095322822239,0.0430791123326351,0.243,0.093,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,-0.10354745326596,0.8935812524372,"Not structured"
"CDC42SE1",1.3584,0.000280983683154394,0.0122465893816363,0.351,0.148,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.170002141786526,0.0533940246746419,"Not structured"
"ADAMTSL2",1.3579,0.000122403828336941,0.00655230157594256,0.676,0.449,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.277763662327997,0.00162187669221294,"Weakly structured"
"IGHG1",1.3322,6.46451002171881e-09,1.66325586881385e-06,0.946,0.891,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.126505827583993,0.127755035922001,"Not structured"
"MALAT1",1.2983,2.54103873685507e-15,2.53341562064451e-12,1,0.988,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.384532078730477,9.6057733957622e-06,"Spatially structured"
"EMP3",1.259,0.000386085785567972,0.0153204986352743,0.405,0.19,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,-0.105604768344777,0.8935812524372,"Not structured"
"IMPDH2",1.2568,0.00180573550067736,0.0484934220653287,0.486,0.294,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,-0.0361384066720074,0.891133151808677,"Not structured"
"EGR1",1.2527,4.73187210919472e-09,1.25804706476457e-06,0.919,0.757,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.180729071286673,0.0388982257473251,"Weakly structured"
"FOS",1.2381,1.46872446373267e-13,9.76212193560981e-11,1,0.866,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.137688927053676,0.100148676077553,"Not structured"
"KCTD12",1.2093,0.000392950902820873,0.0155157247569271,0.486,0.265,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,-0.0468630818228486,0.891133151808677,"Not structured"
"IGHA1",1.2016,2.88277916866777e-09,8.84347948049774e-07,1,0.993,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.529840277921759,2.11489551080556e-09,"Spatially structured"
"HLA-DPB1",1.1901,2.26792051700182e-08,4.63818821630936e-06,0.946,0.628,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.00269741712209731,0.772919399504826,"Not structured"
"JCHAIN",1.1532,3.12618899403838e-09,9.23499385794449e-07,0.973,0.834,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.32432528757069,0.000176289439035234,"Spatially structured"
"IGHM",1.1267,0.000175169198770466,0.00854856123833809,0.865,0.746,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.260944136697236,0.00262649678388957,"Weakly structured"
"CBR1",-1.0569,0.00150896287222561,0.0428309176828167,0.297,0.58,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,-0.0859570155920938,0.891133151808677,"Not structured"
"PRELP",1.0539,0.000214629531978965,0.0101294979116226,0.676,0.454,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.122829281676257,0.155532060669811,"Not structured"
"LTBP4",1.0474,0.000669535276551313,0.023319709020844,0.622,0.44,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.24643993811958,0.00598201717307578,"Weakly structured"
"HLA-DPA1",1.0418,0.000124396310278236,0.00661456647186143,0.757,0.581,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,-0.0794029937181552,0.891133151808677,"Not structured"
"IGHG3",1.0325,1.48493283163172e-12,7.89588284339643e-10,1,1,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.281730197242686,0.00120871108775575,"Weakly structured"
"TPM4",0.9947,0.00181387289108727,0.0485484905346042,0.459,0.256,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.110541839639535,0.198671758583243,"Not structured"
"MTRNR2L1",-0.9608,0.00170348380941327,0.0463719688187039,0.351,0.652,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.0882020177165047,0.287009445439355,"Not structured"
"AFM",-0.949,0.00153391021846394,0.0430791123326351,0.459,0.685,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.171637513312247,0.0533940246746419,"Not structured"
"ORM1",-0.9482,1.66716276230929e-07,2.77026879003727e-05,0.973,0.989,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.139959793929352,0.0823464903111247,"Not structured"
"G6PC",-0.9268,7.136752451421e-06,0.00070274984632758,0.703,0.884,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.129025868491773,0.13646760534513,"Not structured"
"SAA1",-0.9171,2.71918392825542e-14,2.16882110117653e-11,1,1,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.246727480266323,0.00489936586574014,"Weakly structured"
"IGKC",0.9091,6.00376274534443e-11,2.66033398093706e-08,1,1,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.41507909661194,1.17587807738814e-06,"Spatially structured"
"CFI",-0.9072,0.000360440365618673,0.0143743617808727,0.568,0.773,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.121777056552275,0.161781230474825,"Not structured"
"PLD3",0.8975,0.00111851502099708,0.0343125992595104,0.595,0.379,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.152614562535625,0.0823464903111247,"Not structured"
"AQP9",-0.8943,0.000680686195988867,0.0236018070875806,0.405,0.701,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,-0.0248687012200955,0.891133151808677,"Not structured"
"IGHG4",0.8899,4.8158389227768e-13,2.95470240369752e-10,1,1,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.403673086898818,2.30143219002274e-06,"Spatially structured"
"ANXA1",0.8899,0.00100934658462775,0.0320220645532136,0.649,0.442,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,-0.0097964965213492,0.833908634717345,"Not structured"
"SSR4",0.886,0.000132458362636719,0.00695057829204256,0.838,0.743,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.207192439303777,0.0199603985429227,"Weakly structured"
"PLA2G2A",-0.8848,1.0710824310282e-05,0.000970790167031921,0.946,0.952,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,-0.0856488921040438,0.891133151808677,"Not structured"
"GPNMB",0.8698,0.00122953246782593,0.0365923543409687,0.73,0.574,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.00691813598038652,0.749180687669844,"Not structured"
"RPL17",0.8689,9.59019475417309e-09,2.31792101088741e-06,0.973,0.88,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.0109143698484758,0.72247627592266,"Not structured"
"ACSM2B",-0.8636,0.00131170597890081,0.0384638488518855,0.486,0.72,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,-0.0412641833047381,0.891133151808677,"Not structured"
"SAA2",-0.8527,1.24568239655518e-13,9.03232981356739e-11,1,1,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.0503404871959473,0.512831478222159,"Not structured"
"ZFP36",0.8443,4.484491030092e-08,8.3182094083753e-06,0.946,0.8,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.0968654054903151,0.213813434982065,"Not structured"
"SLC39A14",-0.8225,5.533421113047e-05,0.00364748485931098,0.703,0.873,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.0352576575129464,0.585031905749807,"Not structured"
"CRP",-0.815,2.50951785968037e-09,8.70257149948287e-07,1,0.998,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.0572417301831503,0.462445607497034,"Not structured"
"JUNB",0.8129,1.81119739715988e-06,0.000222247852919187,0.919,0.774,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.000158656244515286,0.772919399504826,"Not structured"
"DEPP1",0.8097,0.000557651071537921,0.0202173861208475,0.865,0.794,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.325373977174746,0.000190211283945661,"Spatially structured"
"IGLC1",0.8038,1.41530208757669e-06,0.000188140824175194,0.946,0.855,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.0633464396081565,0.425298994186623,"Not structured"
"SAMHD1",0.7917,0.00168345607391802,0.046141737613643,0.568,0.358,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.0227998842775602,0.682907620038111,"Not structured"
"HP",-0.7878,1.20334013858297e-08,2.74949177888099e-06,1,1,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.390152995552933,4.46583236196774e-06,"Spatially structured"
"LBP",-0.7786,0.000312089618678783,0.0131102379657673,0.703,0.839,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,-0.0811653406589893,0.891133151808677,"Not structured"
"HAO1",-0.7774,0.0015803027818215,0.0440716607965324,0.622,0.757,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,-0.115722004593869,0.898447058254601,"Not structured"
"TMSB4X",0.7583,4.09705460133118e-05,0.0027986991085279,0.973,0.904,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.285597625453268,0.00100048358608411,"Weakly structured"
"PTGDS",0.7541,3.33212903856415e-05,0.00243826249647593,0.919,0.748,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.179712528341075,0.043105361944396,"Weakly structured"
"C7",0.7521,2.83720426300359e-07,4.43716494151307e-05,0.973,0.963,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.385715230989339,1.511710139477e-06,"Spatially structured"
"STOM",-0.75,0.000980210748613019,0.0313982366704315,0.595,0.788,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,-0.0310893223687803,0.891133151808677,"Not structured"
"NAMPT",-0.7406,0.000244118293778899,0.0111901581102327,0.595,0.824,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,-0.0993704818293901,0.8935812524372,"Not structured"
"RPL31",0.7374,9.40615537490306e-06,0.000872366224072405,1,0.907,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.0383033937282048,0.56781403907177,"Not structured"
"ACAT1",-0.7343,8.87319496751617e-05,0.00516588343510285,0.811,0.865,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,-0.0068830325091633,0.821411068013102,"Not structured"
"VIM",0.7321,5.39301085229201e-06,0.000558631877375078,0.946,0.785,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.212073498017213,0.0135988263553745,"Weakly structured"
"RPS16",0.7307,9.64275909296328e-07,0.000139837539137228,0.973,0.894,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,-0.0278921796259358,0.891133151808677,"Not structured"
"RPS19",0.7277,5.02210325854558e-08,9.10370354321807e-06,1,0.906,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.217116985054162,0.0123545469591615,"Weakly structured"
"AADAC",-0.7029,0.00129189414637628,0.0380226852822776,0.649,0.791,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,-0.0226838331321145,0.891133151808677,"Not structured"
"TXNDC5",0.6988,0.00156645649457154,0.0438387964936932,0.757,0.66,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.0184085345588511,0.710110635165696,"Not structured"
"FGL1",-0.6929,1.23722357906816e-11,6.16755954165477e-09,1,0.999,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.0235977632234909,0.667070898703922,"Not structured"
"BHMT",-0.6868,0.000534739049103339,0.0195645809892121,0.838,0.859,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,-0.110017634819948,0.898447058254601,"Not structured"
"RPL23",0.6833,0.000252193610892675,0.0113643855394349,0.892,0.806,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"SH3BGRL3",0.6772,0.000708361413399332,0.0242484576535325,0.757,0.547,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"RPS27",0.6757,1.11525335045878e-06,0.000153366564194124,1,0.987,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"ACSL1",-0.6742,1.60786597225688e-06,0.000210235065487227,0.973,0.967,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"SLC13A5",-0.6701,4.08766995826134e-05,0.0027986991085279,0.892,0.932,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"HLA-DRA",0.6692,2.76476441867413e-06,0.000329448501247461,0.973,0.956,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"CD74",0.6666,9.22839671615112e-06,0.000872366224072405,0.946,0.974,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"RPS29",0.6664,3.14973560916906e-06,0.00035888987455332,0.973,0.961,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"HGD",-0.6587,0.00166232272412998,0.0458778063932898,0.622,0.781,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"HAMP",-0.6539,4.97656191551872e-07,7.48925619588252e-05,1,0.999,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"RPS20",0.6539,0.00117434803043485,0.0357271034988004,0.892,0.818,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"RPS15",0.6537,0.00042714213889209,0.0164583850232044,0.919,0.901,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"HLA-DRB1",0.6526,0.000228740464665506,0.0106692043635794,0.973,0.772,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"F9",-0.6523,0.000739914511705902,0.0252203339545567,0.703,0.863,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"RPL35A",0.6398,0.000156596903234084,0.00770998086540157,0.919,0.855,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"RPSA",0.6184,0.000280482884873533,0.0122465893816363,0.892,0.827,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"RPS3",0.6172,3.1508817789828e-05,0.00243826249647593,0.919,0.823,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"RPS5",0.6145,0.000438691132165596,0.0167589359038671,0.973,0.881,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"PABPC1",0.6022,7.61928134908555e-05,0.00463903725498522,0.892,0.797,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"ECHS1",-0.5984,0.00167247415391099,0.045998806384807,0.784,0.849,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"RPS12",0.5854,3.64385301349393e-05,0.00260182297575609,1,0.966,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"RPLP2",0.5795,6.88590176823669e-06,0.000695214588651339,0.973,0.906,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"PCK1",-0.5724,1.01566532226403e-05,0.000931143288549186,0.946,0.984,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"RPS14",0.565,0.000144894913564079,0.00736103076807068,0.973,0.873,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"RPL11",0.5636,4.61012993525277e-05,0.00308994927425009,0.946,0.925,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"NNMT",-0.5584,9.08387658807921e-07,0.000134172221604666,0.973,0.994,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"APOB",-0.557,2.04507282205905e-08,4.4085137374981e-06,1,0.999,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"GNAS",0.5566,0.000533655139686189,0.0195645809892121,0.946,0.87,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"RPL37",0.5532,0.000118840718664975,0.00646333619848578,0.919,0.929,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"RPL14",0.5471,0.00100519221545146,0.0320220645532136,0.865,0.737,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"SAA4",-0.5462,2.76743349844281e-06,0.000329448501247461,0.946,0.986,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"UGP2",-0.5439,0.000835583246153107,0.0273139834890048,0.838,0.904,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"RPL13",0.5426,7.98528818694264e-08,1.38457953432727e-05,1,0.993,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"RPL32",0.5346,0.000259398713221978,0.0115361046197059,0.973,0.961,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"PLIN2",-0.534,7.08292407802917e-05,0.00441354706612193,1,0.954,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"RPL21",0.5338,9.86918775190817e-05,0.00552173314647305,0.973,0.955,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"TMSB10",0.5327,1.03944966219035e-06,0.000145450008870706,1,0.974,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"HMGCS2",-0.5322,3.21649370917005e-05,0.00243826249647593,1,0.975,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"LRG1",-0.5315,0.000703531699768314,0.0241869346437589,0.865,0.919,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"RPL28",0.5313,1.74753853728418e-06,0.000217786990209041,1,0.974,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"RPS25",0.5292,0.000789437903370356,0.0265677498619492,0.892,0.755,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"A2M",-0.528,2.02165580774138e-09,7.32942123752056e-07,1,1,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"AGT",-0.5237,3.3181871855891e-05,0.00243826249647593,1,0.974,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"FGA",-0.5163,1.39271097558739e-10,5.55413137064252e-08,1,1,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"RPL13A",0.5149,8.18106480448012e-06,0.000795758205860163,1,0.98,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
"RPL35",0.5133,0.000395003418395078,0.0155199372665967,0.973,0.904,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,NA,NA,"Not tested"
