"gene","avg_log2FC","p_val","p_val_adj","pct_roi","pct_rest","sample","roi","reference","test","expression_assay","logfc_cutoff","fdr_cutoff","min_pct","n_spots_roi","n_spots_rest","passes_selected_filters","complete_gene_table","analysis_format_version","n_genes_tested","Moran_I","Moran_padj","Moran_neglog10_padj","spatial_class"
"MYO1F",0.9569,0.000465223490058865,0.00643791864536042,0.287,0.185,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.0317900389704283,0.000590821742587133,3.228543530774,"Weakly structured"
"CYP4F11",-0.9554,7.8424442617243e-05,0.00144621007314652,0.134,0.29,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.00913697569677262,0.185957102586083,0.730587229216628,"Not structured"
"IL10RA",0.9549,0.00160431655499499,0.0174505198416349,0.197,0.12,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.00493414694870759,0.322487472808078,0.491487151093809,"Not structured"
"LARP1B",-0.9547,0.00315195446254929,0.0294352792421495,0.064,0.153,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.015057106716279,0.0666667542855392,1.17609068827016,"Not structured"
"HEIH",0.9531,0.000970039457896173,0.0118021467377368,0.306,0.217,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,-0.00405019202386505,0.672216725332694,0.172490686110319,"Not structured"
"AGXT2",-0.9521,1.45388607257185e-06,4.16325498018778e-05,0.21,0.422,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.0406254253978897,1.47866284386102e-05,4.83013084002808,"Weakly structured"
"BAP1",0.9521,0.00247072344070194,0.0241618105531286,0.293,0.209,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,-0.0141824669686405,0.931095802887139,0.0310056310222537,"Not structured"
"CMTM3",0.9519,0.0015525326853519,0.017048256161396,0.255,0.171,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.0196463511522972,0.0240009845871135,1.61977094195591,"Weakly structured"
"MYORG",-0.9503,0.00106332626333245,0.0126890154532408,0.102,0.217,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.0166332302245131,0.0483021302250486,1.31603371553041,"Weakly structured"
"ANKRD12",0.9488,1.26413507173706e-05,0.000297143404844136,0.382,0.251,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.0443788869545497,2.38581792914154e-06,5.62236270206812,"Weakly structured"
"MATN2",0.9458,0.00102858320042165,0.0123263508156889,0.325,0.239,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.0340223161005839,0.000253163844807703,3.59659831730271,"Weakly structured"
"GPC4",0.9443,0.00288056334035388,0.0273944216386315,0.108,0.053,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.00410814892846563,0.3527698500708,0.45250853949093,"Not structured"
"EMP1",0.9375,0.0014298240863792,0.0160406455404835,0.229,0.146,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.0645103728304014,9.16760195094758e-12,11.0377442516441,"Weakly structured"
"AKNA",0.9361,0.00199539212127803,0.0207750695079372,0.261,0.179,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.00341651819249145,0.378072404566906,0.422425020552521,"Not structured"
"CIITA",0.9336,0.000124681167176639,0.0021552418654414,0.229,0.129,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.0108855501126211,0.141571412378896,0.849024435202337,"Not structured"
"BOD1L1",0.9312,0.00435197335689076,0.0372215807075327,0.204,0.132,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.00406407087250423,0.354542782246052,0.450331351532198,"Not structured"
"HGFAC",-0.9271,1.03155009680709e-06,3.07351754166149e-05,0.274,0.485,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.040463553280747,1.58774319571506e-05,4.79921973975704,"Weakly structured"
"FBL",0.9262,4.65390198610074e-05,0.000929525009401161,0.401,0.285,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.0351936340123533,0.000158794418588075,3.7991647665122,"Weakly structured"
"GJB2",-0.9245,0.00349272767470655,0.0316482649265805,0.083,0.177,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.0137812577460426,0.0858089863833702,1.06646722809133,"Not structured"
"MRPL44",-0.9244,0.00553777098464101,0.0449878793313391,0.096,0.183,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.023071315798007,0.00994695177389212,2.00230998765627,"Weakly structured"
"CDC42SE2",0.924,0.00073820091544312,0.009400725662756,0.338,0.247,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.019354094117784,0.0258941522226796,1.58679830326124,"Weakly structured"
"SFRP5",0.9233,0.00459714688399145,0.0387865020677211,0.306,0.223,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.0613537946537769,8.93972783436097e-11,10.0486757028858,"Weakly structured"
"LAPTM5",0.9223,5.22525836048401e-08,1.99870952637555e-06,0.611,0.488,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.0557388241497709,3.75050671836114e-09,8.42591005223993,"Weakly structured"
"FETUB",-0.9202,5.75346345126148e-08,2.18463011486361e-06,0.248,0.49,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.0493487350439589,1.69656441576037e-07,6.77042964625866,"Weakly structured"
"CLEC4G",-0.9201,3.33535595854893e-05,0.000697062497304802,0.153,0.328,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.0388020583661905,3.37013832627723e-05,4.47235227328118,"Weakly structured"
"ATP2A3",0.9194,0.0016165446930349,0.0175650967379453,0.293,0.201,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.0257803421887865,0.00448328946980561,2.34840321940307,"Weakly structured"
"AKR7A3",-0.9166,1.03919186039082e-06,3.08660825925824e-05,0.248,0.464,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.0480848698780383,3.42650059857505e-07,6.46514918797972,"Weakly structured"
"BCL7C",0.916,0.000758635136946331,0.00959025832876301,0.376,0.278,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.0156855130448004,0.0588101534325623,1.23054768754528,"Not structured"
"PANK1",-0.911,3.18589546624887e-06,8.55569751376574e-05,0.21,0.415,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.0263879403057963,0.00372518727783653,2.42885188890589,"Weakly structured"
"AP1S2",0.9073,0.00369817253229865,0.0329340691321373,0.185,0.114,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.0225141157840092,0.0115387905188898,1.937839710981,"Weakly structured"
"DRAM2",0.9056,0.00156524188023246,0.0171316003371249,0.229,0.146,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.0137028987900184,0.0869058502852427,1.06095098694514,"Not structured"
"CCND2",0.9046,0.00132641776323665,0.0152097859886185,0.217,0.133,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.0440324162166202,2.78897923188577e-06,5.55455471969271,"Weakly structured"
"SDHD",-0.9021,2.40465893513525e-05,0.000519306135866918,0.204,0.383,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.0304464418962794,0.000957170263405732,3.01901080215994,"Weakly structured"
"EEA1",0.9017,0.00124991753002916,0.0143962723514247,0.166,0.092,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,-0.00115243229854271,0.561721608964134,0.250478868854193,"Not structured"
"TM4SF1",0.8986,9.52362878448488e-05,0.00171392249965226,0.382,0.267,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.0426350506383058,5.67782314707871e-06,5.24581813901058,"Weakly structured"
"COL1A1",0.897,0.000170524072461512,0.00279691856825321,0.592,0.532,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.162251395654365,1.08921429374273e-65,64.9628866680548,"Weakly structured"
"RAMP2",0.8962,0.000276644764207786,0.00425474721925506,0.236,0.137,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.0218243474666501,0.0137952908814754,1.86026913774458,"Weakly structured"
"MALAT1",0.8935,6.1664137043045e-37,7.10233827320227e-34,1,0.988,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.540606947128343,0,712.164202554706,"Spatially structured"
"ABI3BP",0.8932,1.14213435991683e-05,0.000272169305170066,0.223,0.11,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.057022477574827,1.56597030457115e-09,8.80521647770794,"Weakly structured"
"JAG1",0.8927,0.00084567781663771,0.0105237650027209,0.287,0.195,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.0632853439516876,2.26865876572502e-11,10.6442308224524,"Weakly structured"
"PECAM1",0.8917,0.00031865366898407,0.00478026618334135,0.369,0.267,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.0557011281597347,3.79296740969647e-09,8.42102088886847,"Weakly structured"
"C1orf162",0.8904,8.42321426069751e-05,0.00153453495652707,0.287,0.173,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.0290857600524982,0.00151683985982369,2.81906026737809,"Weakly structured"
"NELFE",0.8901,2.1842538569638e-05,0.00047667316802709,0.389,0.264,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.0159773999786221,0.0555820495062744,1.25506544329353,"Not structured"
"PACS1",0.8901,0.00589592540404559,0.0471583045820498,0.223,0.151,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.0108845265680823,0.141571412378896,0.849024435202337,"Not structured"
"ZFP36L2",0.8899,1.02886656229109e-09,4.96057245800441e-08,0.682,0.546,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.0639005576479448,1.50703702598305e-11,10.8218760774912,"Weakly structured"
"HLA-DMA",0.8892,5.31865954654576e-05,0.00104418986476313,0.433,0.323,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.0335663464811518,0.000304252298725701,3.51676613184854,"Weakly structured"
"CMTM8",-0.8884,0.00573493172755387,0.04633538759768,0.07,0.153,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.010220711577551,0.156995999502778,0.80411141393474,"Not structured"
"CD44",0.8878,1.18931253848673e-05,0.000282114731669415,0.331,0.199,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.0504896015219809,8.71877241531709e-08,7.05954465850598,"Weakly structured"
"RASSF1",0.8868,0.0033994604126399,0.031058836402863,0.21,0.134,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.0160580826722199,0.0545021243301168,1.26358656989093,"Not structured"
"HLA-DPB1",0.8868,2.05211501575682e-14,1.951580206728e-12,0.783,0.625,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.126615367464058,1.21933324423588e-40,39.9138775853134,"Weakly structured"
"SNHG32",0.8852,0.0038934489968604,0.0342901378941843,0.236,0.16,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.0476858957859129,4.14407975055384e-07,6.38257189542204,"Weakly structured"
"VSIR",0.8852,0.00296754366086311,0.0280159905177659,0.261,0.182,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.00891437829068437,0.191559705456969,0.717695839401989,"Not structured"
"ACSM5",-0.8838,0.000292619545482315,0.00444113354095122,0.159,0.307,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.0300756952262513,0.00108962658095363,2.96272231088221,"Weakly structured"
"FXYD5",0.8834,4.12924036592422e-06,0.000107311462347042,0.446,0.311,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.0290055255029703,0.00156373804962282,2.80583599624509,"Weakly structured"
"SLC1A5",0.8799,0.00360075298996998,0.0323307677011533,0.153,0.087,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.0112859377031307,0.132558234837726,0.877593287670638,"Not structured"
"PRELP",0.8791,5.17153528128726e-09,2.23367228024265e-07,0.599,0.45,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.17840664552873,4.41833597152766e-79,78.3547412633327,"Weakly structured"
"GALM",-0.8786,0.0011326417676003,0.0132966756092239,0.166,0.295,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.0251159909158568,0.00546594287432599,2.26233491151907,"Weakly structured"
"ITM2C",0.8751,3.57146546455089e-05,0.000741920060231152,0.408,0.282,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.00627310936694626,0.275536371645882,0.559821064824907,"Not structured"
"SAMHD1",0.8742,9.1848097513046e-07,2.77579410734762e-05,0.497,0.354,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.0352723362577959,0.000154073249647258,3.81227275738184,"Weakly structured"
"SLA",0.8713,0.000663622110906257,0.00862043458853917,0.229,0.139,"P2N_Spatial","TLS","Rest","wilcox","Spatial",0.25,0.05,0.05,157,3499,TRUE,FALSE,2,10366,0.0244332920664509,0.00665063025742184,2.17713719614796,"Weakly structured"
