"gene","avg_log2FC","p_val","p_val_adj","pct_roi","pct_rest","sample","roi","reference","test","expression_assay","logfc_cutoff","fdr_cutoff","min_pct","n_spots_roi","n_spots_rest","passes_selected_filters","complete_gene_table","analysis_format_version","n_genes_tested","Moran_I","Moran_padj","Moran_neglog10_padj","spatial_class"
"YWHAZ",-0.5139,0.000557975961019456,0.0102715697957688,0.698,0.788,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.29751363533309,5.56342081337958e-220,219.254658089076,"Weakly structured"
"SNRPD2",-0.5106,0.00201933506055071,0.0263512937668663,0.558,0.666,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.153936705975846,1.92811659801027e-60,59.7148667067707,"Weakly structured"
"CHCHD10",-0.5101,8.6845392187784e-06,0.000442368716456525,0.779,0.883,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.0842052396780767,1.76231712075988e-19,18.753915939622,"Weakly structured"
"C1S",0.5088,2.63251068197307e-07,2.45838106915506e-05,1,0.828,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.521748647151254,0,671.105214265296,"Spatially structured"
"RPL30",-0.5063,2.48677519194831e-05,0.000985027490676937,1,0.998,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.45403589016561,0,508.706732970278,"Spatially structured"
"PPIB",-0.5054,0.00429413638198444,0.0443513049130075,0.651,0.713,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.151464294446834,1.3998649889418e-58,57.8539138481682,"Weakly structured"
"IGFBP7",0.5021,0.000600207305661558,0.0108266770528287,0.988,0.891,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.424534440089946,0,444.908871061368,"Spatially structured"
"CYBA",-0.4993,0.000657628576804377,0.0116976987917683,0.663,0.773,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.168051307097042,1.23073053649568e-71,70.909837023692,"Weakly structured"
"OST4",-0.4989,0.000228029351838607,0.00508528144087839,0.64,0.766,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.086159237114866,2.64212293929928e-20,19.5780469783123,"Weakly structured"
"RPS7",-0.4986,0.000536787215403562,0.00994276319440689,0.919,0.953,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.379925244112915,0,356.66959242357,"Spatially structured"
"CRP",0.497,3.8242525849475e-06,0.00023009680821513,0.942,0.771,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.599389657722005,0,885.097828617902,"Spatially structured"
"RPLP1",-0.4967,3.32918646021556e-08,4.3891406787989e-06,1,1,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.497225782740201,0,609.828397956288,"Spatially structured"
