"from"	"to"	"source"	"database"
"Bmp8b"	"BMPR1B_ACVR2B"	"BMP"	"cellchat"
"Bmp8b"	"BMPR1B_BMPR2"	"BMP"	"cellchat"
"Bmp10"	"ACVRL1_BMPR2"	"BMP10"	"cellchat"
"Bmp10"	"ACVRL1_ACVR2A"	"BMP10"	"cellchat"
"Gdf2"	"ACVRL1_BMPR2"	"BMP10"	"cellchat"
"Gdf2"	"ACVRL1_ACVR2A"	"BMP10"	"cellchat"
"Gdf9"	"ACVR1B_BMPR2"	"GDF"	"cellchat"
"Gdf10"	"ACVR1B_ACVR2A"	"GDF"	"cellchat"
"Gdf11"	"TGFBR1_ACVR2A"	"GDF"	"cellchat"
"Gdf11"	"TGFBR1_ACVR2B"	"GDF"	"cellchat"
"Gdf11"	"ACVR1B_ACVR2B"	"GDF"	"cellchat"
"Gdf15"	"Tgfbr2"	"GDF"	"cellchat"
"Mstn"	"TGFBR1_ACVR2B"	"MSTN"	"cellchat"
"Mstn"	"ACVR1B_ACVR2B"	"MSTN"	"cellchat"
"Mstn"	"ACVR1B_ACVR2A"	"MSTN"	"cellchat"
"Mstn"	"TGFBR1_ACVR2A"	"MSTN"	"cellchat"
"Amh"	"AMHR2_ACVR1"	"AMH"	"cellchat"
"Amh"	"AMHR2_BMPR1A"	"AMH"	"cellchat"
"Gdnf"	"GFRA1_RET"	"GDNF"	"cellchat"
"Nrtn"	"GFRA2_RET"	"GDNF"	"cellchat"
"Artn"	"GFRA3_RET"	"GDNF"	"cellchat"
"Pspn"	"GFRA4_RET"	"GDNF"	"cellchat"
"Artn"	"GFRA1_RET"	"GDNF"	"cellchat"
"Nodal"	"ACVR1B_ACVR2A_CFC1"	"NODAL"	"cellchat"
"Nodal"	"ACVR1C_ACVR2A_CFC1"	"NODAL"	"cellchat"
"Nodal"	"ACVR1B_ACVR2B_CFC1"	"NODAL"	"cellchat"
"Nodal"	"ACVR1C_ACVR2B_CFC1"	"NODAL"	"cellchat"
"Gdf1"	"ACVR1B_ACVR2A_CFC1"	"NODAL"	"cellchat"
"Gdf1"	"ACVR1B_ACVR2B_CFC1"	"NODAL"	"cellchat"
"Gdf1"	"ACVR1C_ACVR2A_CFC1"	"NODAL"	"cellchat"
"Gdf1"	"ACVR1C_ACVR2B_CFC1"	"NODAL"	"cellchat"
"Gdf3"	"ACVR1B_ACVR2A_CFC1"	"NODAL"	"cellchat"
"Gdf3"	"ACVR1B_ACVR2B_CFC1"	"NODAL"	"cellchat"
"Gdf3"	"ACVR1C_ACVR2A_CFC1"	"NODAL"	"cellchat"
"Gdf3"	"ACVR1C_ACVR2B_CFC1"	"NODAL"	"cellchat"
"Inhba"	"ACVR1B_ACVR2A"	"ACTIVIN"	"cellchat"
"Inhba"	"ACVR1B_ACVR2B"	"ACTIVIN"	"cellchat"
"Inhbb"	"ACVR1B_ACVR2A"	"ACTIVIN"	"cellchat"
"Inhbb"	"ACVR1B_ACVR2B"	"ACTIVIN"	"cellchat"
"Inhbb"	"ACVR1C_ACVR2A"	"ACTIVIN"	"cellchat"
"Inhbb"	"ACVR1C_ACVR2B"	"ACTIVIN"	"cellchat"
"Inhbc"	"ACVR1B_ACVR2A"	"ACTIVIN"	"cellchat"
"Inhbc"	"ACVR1B_ACVR2B"	"ACTIVIN"	"cellchat"
"Inhbc"	"ACVR1C_ACVR2A"	"ACTIVIN"	"cellchat"
"Inhbc"	"ACVR1C_ACVR2B"	"ACTIVIN"	"cellchat"
"Inhbe"	"ACVR1B_ACVR2A"	"ACTIVIN"	"cellchat"
"Inhbe"	"ACVR1B_ACVR2B"	"ACTIVIN"	"cellchat"
"Inhbe"	"ACVR1C_ACVR2A"	"ACTIVIN"	"cellchat"
"Inhbe"	"ACVR1C_ACVR2B"	"ACTIVIN"	"cellchat"
"Activin AB"	"ACVR1B_ACVR2A"	"ACTIVIN"	"cellchat"
"Activin AB"	"ACVR1B_ACVR2B"	"ACTIVIN"	"cellchat"
"Activin AB"	"ACVR1C_ACVR2A"	"ACTIVIN"	"cellchat"
"Activin AB"	"ACVR1C_ACVR2B"	"ACTIVIN"	"cellchat"
"Inhibin A"	"Acvr2a"	"ACTIVIN"	"cellchat"
"Inhibin B"	"Acvr2b"	"ACTIVIN"	"cellchat"
"Wnt1"	"FZD1_LRP5"	"WNT"	"cellchat"
"Wnt1"	"FZD10_LRP5"	"WNT"	"cellchat"
"Wnt1"	"FZD2_LRP5"	"WNT"	"cellchat"
"Wnt1"	"FZD3_LRP5"	"WNT"	"cellchat"
"Wnt1"	"FZD4_LRP5"	"WNT"	"cellchat"
"Wnt1"	"FZD5_LRP5"	"WNT"	"cellchat"
"Wnt1"	"FZD6_LRP5"	"WNT"	"cellchat"
"Wnt1"	"FZD7_LRP5"	"WNT"	"cellchat"
"Wnt1"	"FZD8_LRP5"	"WNT"	"cellchat"
"Wnt1"	"FZD9_LRP5"	"WNT"	"cellchat"
"Wnt10a"	"FZD1_LRP5"	"WNT"	"cellchat"
"Wnt10a"	"FZD10_LRP5"	"WNT"	"cellchat"
"Wnt10a"	"FZD2_LRP5"	"WNT"	"cellchat"
"Wnt10a"	"FZD3_LRP5"	"WNT"	"cellchat"
"Wnt10a"	"FZD4_LRP5"	"WNT"	"cellchat"
"Wnt10a"	"FZD5_LRP5"	"WNT"	"cellchat"
"Wnt10a"	"FZD6_LRP5"	"WNT"	"cellchat"
"Wnt10a"	"FZD7_LRP5"	"WNT"	"cellchat"
"Wnt10a"	"FZD8_LRP5"	"WNT"	"cellchat"
"Wnt10a"	"FZD9_LRP5"	"WNT"	"cellchat"
"Wnt10b"	"FZD1_LRP5"	"WNT"	"cellchat"
"Wnt10b"	"FZD10_LRP5"	"WNT"	"cellchat"
"Wnt10b"	"FZD2_LRP5"	"WNT"	"cellchat"
"Wnt10b"	"FZD3_LRP5"	"WNT"	"cellchat"
"Wnt10b"	"FZD4_LRP5"	"WNT"	"cellchat"
"Wnt10b"	"FZD5_LRP5"	"WNT"	"cellchat"
"Wnt10b"	"FZD6_LRP5"	"WNT"	"cellchat"
"Wnt10b"	"FZD7_LRP5"	"WNT"	"cellchat"
"Wnt10b"	"FZD8_LRP5"	"WNT"	"cellchat"
"Wnt10b"	"FZD9_LRP5"	"WNT"	"cellchat"
"Wnt16"	"FZD1_LRP5"	"WNT"	"cellchat"
"Wnt16"	"FZD10_LRP5"	"WNT"	"cellchat"
"Wnt16"	"FZD2_LRP5"	"WNT"	"cellchat"
"Wnt16"	"FZD3_LRP5"	"WNT"	"cellchat"
"Wnt16"	"FZD4_LRP5"	"WNT"	"cellchat"
"Wnt16"	"FZD5_LRP5"	"WNT"	"cellchat"
"Wnt16"	"FZD6_LRP5"	"WNT"	"cellchat"
"Wnt16"	"FZD7_LRP5"	"WNT"	"cellchat"
"Wnt16"	"FZD8_LRP5"	"WNT"	"cellchat"
"Wnt16"	"FZD9_LRP5"	"WNT"	"cellchat"
"Wnt2"	"FZD1_LRP5"	"WNT"	"cellchat"
"Wnt2"	"FZD10_LRP5"	"WNT"	"cellchat"
"Wnt2"	"FZD2_LRP5"	"WNT"	"cellchat"
"Wnt2"	"FZD3_LRP5"	"WNT"	"cellchat"
"Wnt2"	"FZD4_LRP5"	"WNT"	"cellchat"
"Wnt2"	"FZD5_LRP5"	"WNT"	"cellchat"
"Wnt2"	"FZD6_LRP5"	"WNT"	"cellchat"
"Wnt2"	"FZD7_LRP5"	"WNT"	"cellchat"
"Wnt2"	"FZD8_LRP5"	"WNT"	"cellchat"
"Wnt2"	"FZD9_LRP5"	"WNT"	"cellchat"
"Wnt2b"	"FZD1_LRP5"	"WNT"	"cellchat"
"Wnt2b"	"FZD10_LRP5"	"WNT"	"cellchat"
"Wnt2b"	"FZD2_LRP5"	"WNT"	"cellchat"
"Wnt2b"	"FZD3_LRP5"	"WNT"	"cellchat"
"Wnt2b"	"FZD4_LRP5"	"WNT"	"cellchat"
"Wnt2b"	"FZD5_LRP5"	"WNT"	"cellchat"
"Wnt2b"	"FZD6_LRP5"	"WNT"	"cellchat"
"Wnt2b"	"FZD7_LRP5"	"WNT"	"cellchat"
"Wnt2b"	"FZD8_LRP5"	"WNT"	"cellchat"
"Wnt2b"	"FZD9_LRP5"	"WNT"	"cellchat"
"Wnt3"	"FZD1_LRP5"	"WNT"	"cellchat"
"Wnt3"	"FZD10_LRP5"	"WNT"	"cellchat"
"Wnt3"	"FZD2_LRP5"	"WNT"	"cellchat"
"Wnt3"	"FZD3_LRP5"	"WNT"	"cellchat"
"Wnt3"	"FZD4_LRP5"	"WNT"	"cellchat"
"Wnt3"	"FZD5_LRP5"	"WNT"	"cellchat"
"Wnt3"	"FZD6_LRP5"	"WNT"	"cellchat"
"Wnt3"	"FZD7_LRP5"	"WNT"	"cellchat"
"Wnt3"	"FZD8_LRP5"	"WNT"	"cellchat"
"Wnt3"	"FZD9_LRP5"	"WNT"	"cellchat"
"Wnt3a"	"FZD1_LRP5"	"WNT"	"cellchat"
"Wnt3a"	"FZD10_LRP5"	"WNT"	"cellchat"
"Wnt3a"	"FZD2_LRP5"	"WNT"	"cellchat"
"Wnt3a"	"FZD3_LRP5"	"WNT"	"cellchat"
"Wnt3a"	"FZD4_LRP5"	"WNT"	"cellchat"
"Wnt3a"	"FZD5_LRP5"	"WNT"	"cellchat"
"Wnt3a"	"FZD6_LRP5"	"WNT"	"cellchat"
"Wnt3a"	"FZD7_LRP5"	"WNT"	"cellchat"
"Wnt3a"	"FZD8_LRP5"	"WNT"	"cellchat"
"Wnt3a"	"FZD9_LRP5"	"WNT"	"cellchat"
"Wnt4"	"FZD1_LRP5"	"WNT"	"cellchat"
"Wnt4"	"FZD10_LRP5"	"WNT"	"cellchat"
"Wnt4"	"FZD2_LRP5"	"WNT"	"cellchat"
"Wnt4"	"FZD3_LRP5"	"WNT"	"cellchat"
"Wnt4"	"FZD4_LRP5"	"WNT"	"cellchat"
"Wnt4"	"FZD5_LRP5"	"WNT"	"cellchat"
"Wnt4"	"FZD6_LRP5"	"WNT"	"cellchat"
"Wnt4"	"FZD7_LRP5"	"WNT"	"cellchat"
"Wnt4"	"FZD8_LRP5"	"WNT"	"cellchat"
"Wnt4"	"FZD9_LRP5"	"WNT"	"cellchat"
"Wnt6"	"FZD1_LRP5"	"WNT"	"cellchat"
"Wnt6"	"FZD10_LRP5"	"WNT"	"cellchat"
"Wnt6"	"FZD2_LRP5"	"WNT"	"cellchat"
"Wnt6"	"FZD3_LRP5"	"WNT"	"cellchat"
"Wnt6"	"FZD4_LRP5"	"WNT"	"cellchat"
"Wnt6"	"FZD5_LRP5"	"WNT"	"cellchat"
"Wnt6"	"FZD6_LRP5"	"WNT"	"cellchat"
"Wnt6"	"FZD7_LRP5"	"WNT"	"cellchat"
"Wnt6"	"FZD8_LRP5"	"WNT"	"cellchat"
"Wnt6"	"FZD9_LRP5"	"WNT"	"cellchat"
"Wnt7a"	"FZD1_LRP5"	"WNT"	"cellchat"
"Wnt7a"	"FZD10_LRP5"	"WNT"	"cellchat"
"Wnt7a"	"FZD2_LRP5"	"WNT"	"cellchat"
"Wnt7a"	"FZD3_LRP5"	"WNT"	"cellchat"
"Wnt7a"	"FZD4_LRP5"	"WNT"	"cellchat"
"Wnt7a"	"FZD5_LRP5"	"WNT"	"cellchat"
"Wnt7a"	"FZD6_LRP5"	"WNT"	"cellchat"
"Wnt7a"	"FZD7_LRP5"	"WNT"	"cellchat"
"Wnt7a"	"FZD8_LRP5"	"WNT"	"cellchat"
"Wnt7a"	"FZD9_LRP5"	"WNT"	"cellchat"
"Wnt7b"	"FZD1_LRP5"	"WNT"	"cellchat"
"Wnt7b"	"FZD10_LRP5"	"WNT"	"cellchat"
"Wnt7b"	"FZD2_LRP5"	"WNT"	"cellchat"
"Wnt7b"	"FZD3_LRP5"	"WNT"	"cellchat"
"Wnt7b"	"FZD4_LRP5"	"WNT"	"cellchat"
"Wnt7b"	"FZD5_LRP5"	"WNT"	"cellchat"
"Wnt7b"	"FZD6_LRP5"	"WNT"	"cellchat"
"Wnt7b"	"FZD7_LRP5"	"WNT"	"cellchat"
"Wnt7b"	"FZD8_LRP5"	"WNT"	"cellchat"
"Wnt7b"	"FZD9_LRP5"	"WNT"	"cellchat"
"Wnt8a"	"FZD1_LRP5"	"WNT"	"cellchat"
"Wnt8a"	"FZD10_LRP5"	"WNT"	"cellchat"
"Wnt8a"	"FZD2_LRP5"	"WNT"	"cellchat"
"Wnt8a"	"FZD3_LRP5"	"WNT"	"cellchat"
"Wnt8a"	"FZD4_LRP5"	"WNT"	"cellchat"
"Wnt8a"	"FZD5_LRP5"	"WNT"	"cellchat"
"Wnt8a"	"FZD6_LRP5"	"WNT"	"cellchat"
"Wnt8a"	"FZD7_LRP5"	"WNT"	"cellchat"
"Wnt8a"	"FZD8_LRP5"	"WNT"	"cellchat"
"Wnt8a"	"FZD9_LRP5"	"WNT"	"cellchat"
"Wnt8b"	"FZD1_LRP5"	"WNT"	"cellchat"
"Wnt8b"	"FZD10_LRP5"	"WNT"	"cellchat"
"Wnt8b"	"FZD2_LRP5"	"WNT"	"cellchat"
"Wnt8b"	"FZD3_LRP5"	"WNT"	"cellchat"
"Wnt8b"	"FZD4_LRP5"	"WNT"	"cellchat"
"Wnt8b"	"FZD5_LRP5"	"WNT"	"cellchat"
"Wnt8b"	"FZD6_LRP5"	"WNT"	"cellchat"
"Wnt8b"	"FZD7_LRP5"	"WNT"	"cellchat"
"Wnt8b"	"FZD8_LRP5"	"WNT"	"cellchat"
"Wnt8b"	"FZD9_LRP5"	"WNT"	"cellchat"
"Wnt9a"	"FZD1_LRP5"	"WNT"	"cellchat"
"Wnt9a"	"FZD10_LRP5"	"WNT"	"cellchat"
"Wnt9a"	"FZD2_LRP5"	"WNT"	"cellchat"
"Wnt9a"	"FZD3_LRP5"	"WNT"	"cellchat"
"Wnt9a"	"FZD4_LRP5"	"WNT"	"cellchat"
"Wnt9a"	"FZD5_LRP5"	"WNT"	"cellchat"
"Wnt9a"	"FZD6_LRP5"	"WNT"	"cellchat"
"Wnt9a"	"FZD7_LRP5"	"WNT"	"cellchat"
"Wnt9a"	"FZD8_LRP5"	"WNT"	"cellchat"
"Wnt9a"	"FZD9_LRP5"	"WNT"	"cellchat"
"Wnt9b"	"FZD1_LRP5"	"WNT"	"cellchat"
"Wnt9b"	"FZD10_LRP5"	"WNT"	"cellchat"
"Wnt9b"	"FZD2_LRP5"	"WNT"	"cellchat"
"Wnt9b"	"FZD3_LRP5"	"WNT"	"cellchat"
"Wnt9b"	"FZD4_LRP5"	"WNT"	"cellchat"
"Wnt9b"	"FZD5_LRP5"	"WNT"	"cellchat"
"Wnt9b"	"FZD6_LRP5"	"WNT"	"cellchat"
"Wnt9b"	"FZD7_LRP5"	"WNT"	"cellchat"
"Wnt9b"	"FZD8_LRP5"	"WNT"	"cellchat"
"Wnt9b"	"FZD9_LRP5"	"WNT"	"cellchat"
"Wnt1"	"FZD1_LRP6"	"WNT"	"cellchat"
"Wnt1"	"FZD10_LRP6"	"WNT"	"cellchat"
"Wnt1"	"FZD2_LRP6"	"WNT"	"cellchat"
"Wnt1"	"FZD3_LRP6"	"WNT"	"cellchat"
"Wnt1"	"FZD4_LRP6"	"WNT"	"cellchat"
"Wnt1"	"FZD5_LRP6"	"WNT"	"cellchat"
"Wnt1"	"FZD6_LRP6"	"WNT"	"cellchat"
"Wnt1"	"FZD7_LRP6"	"WNT"	"cellchat"
"Wnt1"	"FZD8_LRP6"	"WNT"	"cellchat"
"Wnt1"	"FZD9_LRP6"	"WNT"	"cellchat"
"Wnt10a"	"FZD1_LRP6"	"WNT"	"cellchat"
"Wnt10a"	"FZD10_LRP6"	"WNT"	"cellchat"
"Wnt10a"	"FZD2_LRP6"	"WNT"	"cellchat"
"Wnt10a"	"FZD3_LRP6"	"WNT"	"cellchat"
"Wnt10a"	"FZD4_LRP6"	"WNT"	"cellchat"
"Wnt10a"	"FZD5_LRP6"	"WNT"	"cellchat"
"Wnt10a"	"FZD6_LRP6"	"WNT"	"cellchat"
"Wnt10a"	"FZD7_LRP6"	"WNT"	"cellchat"
"Wnt10a"	"FZD8_LRP6"	"WNT"	"cellchat"
"Wnt10a"	"FZD9_LRP6"	"WNT"	"cellchat"
